cellName,fusionPresent_bool
E9_B003067,0
O6_B003116,0
A21_B002571,0
O12_B003048,0
F1_B002573,0
N20_B003046,0
G11_B001608,0
H8_1001000297,0
P21_B003093,0
A5_B003527,0
L14_B003588,0
J2_B000863,0
E21_B003523,0
C2_1001000410,0
K4_B000419,0
N8_B003191,0
E18_B001008,0
P5_B001798,0
L5_B001797,0
A5_B001474,0
I14_B002074,0
E21_1001000409,0
L10_B002078,0
K11_B003070,0
O12_B003071,0
E20_B002571,0
B21_1001000407,0
E17_B001556,0
E15_B002074,0
C4_B003654,0
G3_1001000327,0
O18_B003115,0
B10_B003648,0
J4_B002090,0
B20_1001000410,0
O20_B000883,0
B2_1001000297,0
F19_B001016,0
M1_B002571,0
H5_B003777,0
F13_B003116,0
N20_B003112,0
P1_B001008,0
A21_B003048,0
A7_1001000412,0
J8_B003529,0
C14_1001000409,0
I20_B001008,0
F11_B001556,0
F17_B003067,0
O5_B001795,0
A10_1001000297,0
L8_B003048,0
P17_B000861,0
A17_B001543,0
N2_B002571,0
N20_B002074,0
I19_B003894,0
I10_B002078,0
G20_B003648,0
L7_B003067,0
F10_B001474,0
O13_B003125,0
N17_B002573,0
D4_B001543,0
K13_B003093,0
H15_B003117,0
L9_B003113,0
K7_B003116,0
G6_B002074,0
E12_10001000325,0
C10_1001000298,0
D2_1001000327,0
N14_B003920,0
I6_B000420,0
C1_1001000410,0
I20_1001000340,0
E3_B000862,0
D20_B003132,0
C11_B002078,0
B11_1001000299,0
N4_B003577,0
K7_B003187,0
J18_B001474,0
N10_B003777,0
B19_B000261,0
B19_1001000410,0
L19_B003523,0
C11_B003522,0
F5_B003920,0
K12_B003070,0
M6_B003187,0
G11_1001000296,0
J11_1001000408,0
D15_B001470,0
E2_B003894,0
H7_B003648,0
F15_B003125,0
E2_B001464,0
J9_B002097,0
K5_B003117,0
C19_B003654,0
I12_B001556,0
F17_B000863,0
G18_B001545,0
O13_1001000339,0
J19_B003129,0
N20_B003529,0
A19_B002573,0
L10_B003119,0
D4_B001617,0
G1_B002078,0
A21_B003112,0
M21_B003528,0
M15_B002073,0
C11_B001008,0
K10_B003048,0
A22_B001474,0
L22_B003776,0
L8_B003642,0
O16_B001543,0
J4_B000419,0
O7_B003529,0
E5_B001545,0
A22_B003646,0
F5_1001000294,0
M14_B002571,0
C22_B000862,0
H7_B003656,0
D18_B000862,0
G9_B003894,0
D12_B003518,0
G1_B003648,0
D22_B003191,0
I16_B001608,0
K21_B003126,0
G12_B003097,0
H13_B001016,0
A18_B003112,0
N6_B003920,0
K5_B001617,0
N22_B001008,0
O3_B003129,0
P11_B003115,0
J10_B003528,0
G21_B003647,0
L18_B003775,0
N17_B003048,0
H17_B003067,0
P6_B003070,0
B11_B001008,0
I5_B003775,0
C13_B003775,0
O18_B003119,0
C14_B003093,0
E18_B003528,0
H14_B003112,0
I1_B002090,0
J13_1001000407,0
P16_B003658,0
F15_B003648,0
F16_B001008,0
H6_B003067,0
L20_B000569,0
G4_B002078,0
N1_B003048,0
L17_B003528,0
H20_B003522,0
L4_B003659,0
P22_B001556,0
I20_B001543,0
K3_B002090,0
H16_B003046,0
B9_B003071,0
D1_1001000292,0
I20_B003132,0
G15_B000860,0
N15_B002573,0
J15_B001545,0
C16_1001000409,0
O16_B003070,0
J20_B000420,0
E8_B003191,0
P12_B001475,0
G19_B003132,0
F7_B003777,0
M20_1001000339,0
I14_B003528,0
F10_B001556,0
F12_B003115,0
E19_B002573,0
A15_B003528,0
K5_B001795,0
I2_B003920,0
L22_B002074,0
H21_B003920,0
E22_1001000408,0
P9_B001608,0
H8_B003121,0
I16_B002078,0
O22_B003093,0
I13_B003187,0
P22_B003777,0
J19_1001000412,0
H15_1001000412,0
M12_B001608,0
F6_1001000296,0
I13_B003046,0
A11_B003920,0
F5_1001000293,0
J15_B003116,0
C6_1001000297,0
A16_B001475,0
B19_B003093,0
A3_B003646,0
B2_B002090,0
B12_1001000412,0
I7_B003121,0
O8_B003527,0
J14_B001464,0
F10_B003920,0
G17_B003048,0
G20_1001000407,0
I22_B000862,0
H5_B003116,0
G15_B003132,0
N4_B001798,0
D15_1001000365,0
O22_B000275,0
L5_B003125,0
O17_B001008,0
G11_B003070,0
A20_B003659,0
J16_B003126,0
H5_B003776,0
M12_B003187,0
I13_B003643,0
D11_1001000297,0
P15_B003067,0
E16_B001475,0
F3_B003113,0
K2_B002078,0
H18_B000861,0
P2_B000419,0
N16_B001008,0
D10_1001000315,0
D20_B003659,0
M8_B003119,0
P7_B003776,0
O5_B001799,0
I2_B001464,0
P10_B000281,0
B1_B003115,0
I7_B003659,0
D8_1001000299,0
B4_1001000301,0
M23_B000262,0
H17_B003523,0
C2_B003654,0
P10_B000861,0
B7_1001000408,0
D18_B003115,0
E7_B003527,0
B15_B003187,0
F7_B002571,0
P18_B003126,0
F3_B003187,0
P16_1001000409,0
C15_1001000409,0
N11_B001556,0
F13_B001008,0
F19_B000420,0
J2_B003529,0
I20_B003115,0
A8_B002571,0
M11_B003528,0
